,Unnamed: 0,reviews,Size,comfort,quality,star_rating
41,41,167.0,"8,10,11,12,13,14",138.0,105.0,4.6
42,42,,"8,9,10,11",,,0.0
43,43,3.0,"7,12",3.0,2.0,4.7
44,44,14.0,"7,8,10,11",12.0,6.0,4.6
45,45,31.0,"7,9,11",28.0,19.0,4.6
46,46,14.0,"7,9,10,11,12",12.0,6.0,4.6
47,47,29.0,7,23.0,19.0,4.7
48,48,144.0,"10,12,13,14",123.0,99.0,4.4
49,49,2.0,"8,9,10,11,12,13,14",1.0,1.0,1.5
50,50,5.0,"7,11,12",4.0,2.0,4.2
51,51,17.0,"12,13,14",15.0,12.0,4.7
52,52,,"7,8,10,11,14",,,0.0
53,53,,"9,10,11,12",,,0.0
54,54,27.0,"7,10,11,12",21.0,17.0,4.4
55,55,33.0,12,28.0,26.0,4.9
56,56,558.0,"7,8,9,11,12",480.0,375.0,4.6
57,57,,"7,10,11,13,14",,,0.0
58,58,1.0,"7,8",1.0,,5.0
59,59,3.0,"7,8,9,10,11,12,13,14",3.0,3.0,5.0
60,60,,"7,9,11",,,0.0
61,61,,"7,8,9,11",,,0.0
62,62,15.0,"8,12",13.0,11.0,4.7
63,63,,"7,8,9,10",,,0.0
64,64,55.0,10,48.0,33.0,4.4
65,65,48.0,"10,11,13",38.0,21.0,4.2
66,66,27.0,"8,9,11",21.0,19.0,4.6
67,67,48.0,"7,8,9,10,11,12,13",38.0,21.0,4.2
68,68,97.0,"7,12,13",85.0,67.0,4.6
69,69,27.0,"7,8,9,10,11,12",21.0,17.0,4.4
70,70,41.0,"8,9,10,11,12",36.0,21.0,4.4
71,71,214.0,"8,10,11,12",189.0,109.0,4.7
72,72,,"10,11",,,
73,73,48.0,"7,8,9,10,11,12,13",38.0,21.0,4.2
74,74,2.0,"8,9,10,12",1.0,1.0,1.5
75,75,191.0,"7,11,13,14",169.0,131.0,4.5
76,76,27.0,11,21.0,19.0,4.6
77,77,32.0,"7,8,9,10,11,12,13,14",25.0,16.0,4.5
78,78,2.0,"7,8,9,10,11,12,13",2.0,2.0,5.0
79,79,6.0,"7,8,9,10,11,12",6.0,4.0,5.0
80,80,6.0,"7,8,9,11,12,13,14",3.0,3.0,2.7
81,81,,"8,9,10,11,12",,,0.0
82,82,,"7,10,11,12",,,
83,83,33.0,"7,8,9,10,11,12",26.0,19.0,4.4
84,84,,"7,8,9,10,11,12,13,14",,,
85,85,30.0,"7,8,9,10,11,12",25.0,23.0,4.6
86,86,,"7,8,9,10",,,
87,87,,"8,9,10,11,12",,,0.0
88,88,,"7,8,9,10,12",,,0.0
89,89,33.0,"7,8,9,10,11,13",30.0,18.0,4.7
90,90,31.0,"7,9,10,11,12,13,14",28.0,19.0,4.6
91,91,,"7,8,9,10,11,12",,,
92,92,,"7,10,11",,,
93,93,82.0,"10,11,12",74.0,54.0,4.9
94,94,,"7,8,9,10,11,12,13",,,
95,95,,"8,9,10,11",,,
96,96,55.0,"8,9,10",45.0,30.0,4.5
97,97,,"8,9,10,11",,,
98,98,82.0,"7,8,9,10,11,12",74.0,54.0,4.9
99,99,1.0,"7,8,10,12",1.0,,5.0
100,100,3.0,"8,9,10,11",3.0,1.0,
101,101,12.0,"7,8,9,10,11,12",12.0,10.0,4.5
102,102,1.0,"7,8,9,10,12",1.0,1.0,5.0
103,103,8.0,"8,9,10,11",7.0,3.0,
104,104,,"7,8,9,10,11,12",,,
105,105,,"7,8,9,10,11",,,0.0
106,106,,"7,8,9,10,11",,,
107,107,62.0,"7,8,10,12,13,14",56.0,44.0,4.6
108,108,3.0,"8,9,10,11",3.0,1.0,4.7
109,109,144.0,"7,8,10,12,13",123.0,99.0,4.4
110,110,,"8,9,10,11,12",,,
111,111,,"7,8",,,0.0
112,112,,"8,9,10,11",,,0.0
113,113,1.0,"7,8,12",1.0,1.0,5.0
114,114,,"7,8,9,10,11,12",,,
115,115,53.0,"7,8,9,10,11,12",47.0,44.0,4.8
116,116,29.0,"7,9,10,11,12",23.0,19.0,4.7
117,117,,"7,8,9,10,11",,,0.0
118,118,12.0,"7,8,9,10,11,12",12.0,10.0,4.5
119,119,,"7,8,9,10,12",,,
120,120,,"8,9,10,11",,,
121,121,1.0,"7,8,9,10,11",1.0,1.0,3.0
122,122,28.0,"7,8,9,10,11,12",26.0,19.0,
123,123,14.0,"8,9,10,11",12.0,11.0,
124,124,4.0,"7,8,9,11",4.0,2.0,5.0
125,125,,"7,8,9,10,11,12",,,
126,126,14.0,"8,9,10,11",12.0,11.0,4.6
127,127,16.0,7,15.0,10.0,4.8
128,128,1.0,"9,10,11,12",1.0,1.0,4.0
129,129,,"7,8,9,10,11,12",,,0.0
130,130,,"7,8,9,10",,,
131,131,,"7,8,9,10,11,12",,,
132,132,1245.0,"7,8,9,10,11",1117.0,806.0,4.8
133,133,,"7,8,9,10,11,12",,,
134,134,,"7,12",,,
135,135,214.0,"8,9,11",189.0,109.0,4.7
136,136,6.0,"7,8,9,10,11,12",3.0,3.0,2.7
137,137,,"7,8,9,10,11,12",,,0.0
138,138,1.0,"7,8,9,10,11,12",1.0,1.0,5.0
139,139,16.0,"7,9",15.0,10.0,4.8
140,140,64.0,"7,8,9,10,11,12",53.0,49.0,4.5
141,141,,"7,8,9,10,11,12",,,
142,142,4.0,"7,8,10,11,12",4.0,2.0,5.0
143,143,,"7,8,9,10,11,12",,,
144,144,33.0,"7,8,10,11,12,13",30.0,18.0,4.7
145,145,48.0,"7,8,9,10,11,12,13,14",42.0,36.0,4.7
146,146,,"8,9,10,11",,,
147,147,,"7,8,9,10,11,12,13",15.0,12.0,
148,148,,"7,8,9,10,11,12",,,0.0
149,149,,"7,8,9,10,11,12",,,0.0
150,150,12.0,"6,7,8,10",11.0,10.0,4.8
151,151,12.0,"7,8,9,10",11.0,10.0,4.9
152,152,8.0,"6,7,8,9",8.0,5.0,4.9
153,153,12.0,"6,7,8",11.0,10.0,4.9
154,154,8.0,"6,7,8,9,10",8.0,8.0,4.6
155,155,8.0,"6,7,8,9",8.0,5.0,4.9
156,156,964.0,"5,6,7,8,9,10",841.0,738.0,4.7
157,157,121.0,"6,7",106.0,93.0,4.5
158,158,1.0,"6,7",1.0,1.0,4.0
159,159,1.0,"6,7,9",1.0,1.0,4.0
160,160,121.0,"6,7",106.0,93.0,4.5
