,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
257,24,Off White , Grey Two , Core Black , Utility Green , Core Black , ID9639
258,24,Core Black , Cloud White , Core Black , Bliss Lilac , Pink Fusion , ID1747
259,24,Core Black , Core Black ,,,, IE5465
260,26,Arctic Night F23 , Arctic Night F23 , Better Scarlet , Core Black , Cloud White , HQ1443
261,17,Core Black , Dash Grey , Lucid Pink , Core Black , Cloud White , IG2372
262,24,Grey Three , Core Black , Core Black , Core Black , Shadow Navy , ID9675
263,18,Core Black , Core Black , Cloud White , Core Black , Mineral Green , IE8211
264,18,Silver Dawn , Silver Dawn , Core Black , Grey One , Core Black , IF5268
265,20,Core Black , Grey Five , Core Black , Chalk White , Cloud White , IG8337
266,20,Wonder Silver , Wonder Silver ,,,, ID0273
267,14,Cloud White , Bright Blue , Cloud White , Cloud White , Cloud White , ID9442
268,14,Wonder Mauve , Legacy Purple , Core Black , Wonder Mauve , Grey Two , GZ9261
269,20,Legacy Burgundy S22 , Core Black , Cloud White , Core Black , Mineral Green , ID9600
270,25,Cloud White , Cloud White , Core Black , Off White , Cloud White , IF5603
271,21,Arctic Night , Silver Dawn , Core Black , Grey One , Core Black , GY6256
272,25,Bold Onix , Core Black , Core Black , Core Black , Grey Two , FV7227
273,25,Pink Fusion , Silver Dawn , Core Black , Grey One , Core Black , IF3220
274,25,Unity Orange , Shock Slime , Unity Orange ,,, ID9241
275,19,Core Black , Cloud White , Core Black , Off White , Cloud White , IG5822
276,19,Grey One , Silver Dawn , Core Black , Grey One , Core Black , IG3126
277,24,Cloud White , Cloud White , Core Black , Off White , Cloud White , ID9222
278,24,Grey One , Core Black , Core Black , Core Black , Shadow Navy , HQ4244
279,14,Cloud White , Core Black , Cloud White , Core Black , Mineral Green , IE9224
280,24,Cloud White , Core Black ,,,, GW4622
281,24,Core Black , Wonder Red F22 , Wonder Steel F22 , Core Black , Wonder Taupe , IE9620
282,21,Grey Two , Legacy Purple , Core Black , Wonder Mauve , Grey Two , HQ8326
283,21,Cloud White , Grey Five , Core Black , Chalk White , Cloud White , ID9629
284,21,Cloud White , Beam Pink F22 , Bliss Orange , Cloud White , Cloud White , ID1727
285,14,Pulse Mint , Arctic Night F23 , Better Scarlet , Core Black , Cloud White , IE5425
286,14,Cloud White , Bright Blue , Cloud White , Cloud White , Cloud White , HQ1423
287,14,Cloud White , Core Black , Cloud White , Core Black , Mineral Green , IG2322
288,14,Linen Green F22 , Core Black , Cloud White , Core Black , Mineral Green , ID9625
289,14,Cloud White , Cloud White , Core Black , Off White , Cloud White , IE8221
290,16,Oatmeal , Oatmeal , Aluminium , Aluminium ,, IF5228
291,14,Beam Pink F22 , Beam Pink F22 , Bliss Orange , Cloud White , Cloud White , IG8327
292,14,Core Black , Clay Strata S23 , Core Black , Shadow Violet ,, ID0223
293,14,Wonder White F21 , Core Black , Cloud White , Core Black , Mineral Green , ID9422
294,14,Core Black , Team Collegiate Red , Core Black , Cloud White , Cloud White , GZ9221
295,17,Wonder Red F22 , Legacy Purple , Core Black , Wonder Mauve , Grey Two , ID9620
296,27,Cloud White , Core Black , Core Black , Core Black , Shadow Navy , HR0026
297,27,Core Black , Core Black , Core Black , Core Black , Shadow Navy , IF5623
298,27,Wonder Beige , Core Black , Wonder Beige , Solar Green , Collegiate Gold , IF8129
299,27,Off White , Carbon , Wonder Quartz , Silver Dawn , Shadow Violet F23 , ID9626
