,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
90,,,,,,,
91,16.0, Black, Black,,,, CQ9356-004
92,17.0, White, Black, Black, White, White, 553558-136
93,16.0, Black, Light Silver,,,, FD2592-002
94,19.0, Rattan, Enamel Green, Rattan,,, DO9801-200
95,21.0, Grey Fog, Black, Grey Fog,,, DQ7558-001
96,17.0, Tech Grey,,,,, DZ4135-002
97,18.0, Dark Driftwood, White, Pilgrim, Black, White, DM3494-200
98,16.0, Black, Black,,,, DJ6106-001
99,, Black, Black, Cool Grey,,, BQ3204-002
100,14.0, White, Black, White, Sky J Teal, White, BQ6472-146
101,17.0, Sky J Purple, Black, Cement Grey,,, DB2889-501
102,17.0, Night Stadium,,,,, FQ8338-017
103,14.0, Black, Team Gold, Black,,, DX5575-001
104,14.0, Black, Pale Vanilla, Red Stardust, Black, Bleached Turquoise, FB9892-002
105,21.0, White, White, White, White,, DQ0660-130
106,17.0, Magic Ember, Magic Ember, Black, Black,, DX4332-800
107,14.0, White, White, White,,, DH0295-102
108,16.0, Phantom,,,,, FB9657-002
109,24.0, White, Fuchsia Dream, Black, Black, White, DM1123-100
110,14.0, Pure Platinum, White, White, Wolf Grey, Pure Platinum, DC0774-080
111,14.0, Celestial Gold, White, Sky J Orange, Celestial Gold, Sport Spice, DV0426-200
112,21.0, White, White, White, Multi-Color,, DA6364-101
113,25.0, Guava Ice, Phantom, Guava Ice, Black, White, DR8785-802
114,16.0, White,,,,, DN2158-101
115,16.0, White,,,,, 942838-101
116,24.0, White,,,,, DZ5485-105
117,14.0, Black, Sky J French Blue, Titanium, Celestial Gold, Black, DN3253-061
118,14.0, Atmosphere, White, Lucky Green, Metallic Silver, Sail, DH7004-600
119,14.0, Praline,,,,, FN6622-201
120,18.0, Light Crimson, Hyper Turquoise, Bright Crimson, Black, Metallic Silver, FD1157-600
121,, Multi-Color, Multi-Color, Multi-Color, Multi-Color,, DM1182-991
122,18.0, Barely Volt, Barely Volt, Barely Volt, Barely Volt, Multi-Color, DC9968-705
123,17.0, Varsity Red, Varsity Red, White, White, Black, DV5141-611
124,16.0, White, Black, Light Smoke Grey, Black, White, DN3577-101
125,18.0, Baltic Blue, Hyper Turquoise, Baltic Blue, Bright Crimson, Black, DR9996-400
126,22.0, White, Anthracite, White,,, DJ5593-101
127,16.0, Light Armory Blue, Black, Black,,, FB8501-402
128,16.0, Summit White, Multi-Color, Multi-Color, Multi-Color,, DZ2544-100
129,18.0, Black, Black, White, Light Chocolate, Thunder Blue, DX4361-002
