,Unnamed: 0,ShoeName,Category,no_of_colors,Price
159,159,"Suede Classic XXI Women's Sneakers
Puma Black-Puma White",Women,6 ,75.00
160,160,"Cali Women's Sneakers
Puma White-Puma Black",Women,2 ,80.00
161,161,"Mayze Women's Sneakers
Puma White-Puma Black",Women,2 ,90.00
162,162,"Mayze Classic Women's Sneakers
Puma White",Women,2 ,90.00
163,163,"Cali Wedge Women's Sneakers
Puma White-Puma White",Women,2 ,90.00
164,164,"Suede Classic XXI Women's Sneakers
High Risk Red-Puma White",Women,6 ,75.00
165,165,"Cali Dream West Coast Leather Women's Sneakers
PUMA White",Women,4 ,90.00
166,166,"Pulsar Wedge Cat Logo Women's Sneakers
Whisper White-ARUBA BLUE",Women,1 ,110.00
167,167,"RS-X Glimmer Women's Sneakers
PUMA White-Gold-Warm White",Women,1 ,110.00
168,168,"Roma Classic Gum Sneakers
Puma White-Puma Team Gold",Women,2 ,70.00
169,169,"Cali Wedge Women's Sneakers
Puma Black-Puma White",Women,2 ,90.00
170,170,"Mayze Women's Sneakers
Puma Black-Puma White",Women,1 ,90.00
171,171,"Suede Classic XXI Women's Sneakers
Marshmallow-Puma White",Women,6 ,75.00
172,172,"FENTY x PUMA AVANTI L Women's Sneakers
Dark Myrtle",Women,2 ,160.00
173,173,"RS-X Soft Women's Sneakers
Frosty Pink-Ravish-Pearl Pink",Women,2 ,110.00
174,174,"Roma Classic Gum Sneakers
Puma Black-Puma Team Gold",Women,2 ,70.00
175,175,"ForeverRun NITRO™ Knit Women's Running Shoes
PUMA White-Feather Gray",Women,1 ,150.00
176,176,"RS-X Soft Women's Sneakers
Frosty Pink-Warm White",Women,2 ,110.00
177,177,"Mayze Women's Sneakers
Puma White-Peyote",Women,2 ,90.00
178,178,"Mayze Stack Soft Winter Women's Sneakers
Warm White",Women,2 ,110.00
179,179,"Suede Classic XXI Women's Sneakers
Granola-Warm White",Women,6 ,75.00
180,180,"PUMA x SWAROVSKI Suede Women's Sneakers
PUMA Black",Women,1 ,100.00
181,181,"FENTY x PUMA AVANTI L Women's Sneakers
Club Navy",Women,2 ,160.00
