Category,no_of_colors,Price,count_of_size,Color1,Color2,Color3,Color4,Color5,reviews,comfort,quality,star_rating
0,1.3862943611198906,39.59,3.0,363,252,124,135,78,3.332204510175204,5.0,5.0,4.4
0,1.6094379124341003,50.39,0.0,487,286,166,127,78,3.5263605246161616,5.0,5.0,4.9
0,1.0986122886681098,41.99,4.0,368,241,113,120,78,6.326149473155099,7.7,7.7,4.6
0,1.6094379124341003,64.79,4.0,329,247,166,127,78,6.326149473155099,7.7,7.7,4.6
0,1.0986122886681098,23.99,1.0,365,170,160,123,72,0.6931471805599453,10.0,10.0,5.0
0,1.3862943611198906,46.79,7.0,311,208,120,127,78,1.3862943611198906,10.0,10.0,5.0
0,1.3862943611198906,50.39,2.0,477,153,166,127,78,1.3862943611198906,6.7,6.7,5.0
0,1.0986122886681098,107.99,3.0,324,238,114,127,78,1.3862943611198906,10.0,10.0,5.0
0,1.0986122886681098,25.79,1.0,316,226,183,127,78,2.772588722239781,10.0,10.0,4.7
0,1.6094379124341003,43.19,3.0,482,302,166,127,78,2.772588722239781,10.0,10.0,4.7
0,1.0986122886681098,57.59,0.0,310,190,166,127,78,4.02535169073515,10.0,10.0,4.4
0,1.6094379124341003,53.99,2.0,318,252,113,108,78,3.8918202981106265,10.0,10.0,4.2
0,1.0986122886681098,64.79,2.0,389,152,166,127,78,3.332204510175204,10.0,10.0,4.6
0,1.6094379124341003,83.99,6.0,318,252,113,108,78,3.8918202981106265,10.0,10.0,4.2
0,1.6094379124341003,50.39,2.0,316,211,166,127,78,4.584967478670572,10.0,10.0,4.6
0,0.6931471805599453,71.99,5.0,363,252,124,135,78,3.332204510175204,10.0,10.0,4.4
0,1.6094379124341003,43.19,4.0,363,252,146,101,78,3.7376696182833684,10.0,10.0,4.4
0,1.6094379124341003,33.59,3.0,310,181,166,127,78,5.3706380281276624,10.0,10.0,4.7
0,1.3862943611198906,62.99,1.0,318,252,113,108,78,5.3706380281276624,10.0,10.0,4.7
0,1.6094379124341003,46.79,6.0,318,252,113,108,78,3.8918202981106265,10.0,10.0,4.2
0,1.0986122886681098,43.19,3.0,311,306,171,127,78,1.0986122886681098,10.0,10.0,1.5
0,1.0986122886681098,71.99,3.0,548,247,113,118,78,5.2574953720277815,7.7,7.7,4.5
0,1.0986122886681098,107.99,0.0,389,152,166,127,78,3.332204510175204,7.7,7.7,4.6
0,1.3862943611198906,93.59,7.0,477,165,166,127,78,3.4965075614664802,7.7,7.7,4.5
0,1.6094379124341003,34.55,6.0,487,254,166,127,78,1.0986122886681098,7.7,7.7,5.0
0,1.0986122886681098,62.99,5.0,562,168,165,127,78,1.9459101490553132,7.7,7.7,5.0
0,1.6094379124341003,50.39,6.0,367,250,113,134,78,1.9459101490553132,7.7,7.7,2.7
0,1.3862943611198906,57.59,4.0,311,203,166,127,78,1.9459101490553132,7.7,7.7,2.7
0,1.0986122886681098,46.79,3.0,365,170,160,123,72,1.9459101490553132,7.7,7.7,2.7
0,1.0986122886681098,34.19,5.0,310,252,113,127,78,3.5263605246161616,7.7,7.7,4.4
0,1.0986122886681098,53.99,7.0,477,165,166,127,78,3.5263605246161616,6.7,6.7,4.4
0,1.0986122886681098,64.79,5.0,329,295,166,127,78,3.4339872044851463,6.7,6.7,4.6
0,0.6931471805599453,64.79,2.0,328,263,122,113,74,4.02535169073515,5.7,5.7,4.5
0,1.791759469228055,79.19,3.0,311,252,166,127,78,4.02535169073515,5.7,5.7,4.5
0,1.791759469228055,64.79,5.0,328,247,130,131,78,4.418840607796598,5.7,5.7,4.9
0,1.0986122886681098,50.39,3.0,579,174,166,127,78,0.6931471805599453,5.7,5.7,5.0
0,1.0986122886681098,41.75,3.0,311,247,166,127,78,1.3862943611198906,5.7,5.7,5.0
0,1.0986122886681098,43.19,5.0,330,245,166,127,78,2.5649493574615367,5.7,5.7,4.5
0,1.0986122886681098,61.19,4.0,365,261,166,127,78,0.6931471805599453,5.7,5.7,5.0
0,1.6094379124341003,43.19,3.0,311,252,166,127,78,2.1972245773362196,5.7,5.7,5.0
0,1.0986122886681098,79.19,5.0,333,165,113,105,78,2.1972245773362196,5.7,5.7,5.0
0,1.0986122886681098,64.79,4.0,482,302,166,127,78,2.1972245773362196,5.0,5.0,5.0
0,1.6094379124341003,64.79,4.0,310,254,166,127,78,2.1972245773362196,5.0,5.0,5.0
0,1.0986122886681098,41.99,5.0,485,212,119,101,78,4.143134726391533,5.0,5.0,4.6
0,1.6094379124341003,107.99,3.0,311,247,166,127,78,1.3862943611198906,5.0,5.0,4.7
0,1.3862943611198906,46.79,4.0,548,252,113,110,78,4.976733742420574,5.0,5.0,4.4
0,1.0986122886681098,30.95,4.0,311,208,120,127,78,4.976733742420574,5.0,5.0,4.4
0,1.0986122886681098,50.39,1.0,311,180,166,127,78,4.976733742420574,5.0,5.0,4.4
0,1.6094379124341003,33.59,3.0,318,306,166,127,78,4.976733742420574,8.1,8.1,4.4
0,1.6094379124341003,71.99,2.0,365,261,166,127,78,0.6931471805599453,8.1,8.1,5.0
0,1.0986122886681098,67.19,5.0,310,242,113,114,78,0.6931471805599453,8.1,8.1,5.0
0,1.0986122886681098,100.79,5.0,331,208,117,110,78,3.9889840465642745,8.6,8.6,4.8
0,1.0986122886681098,71.99,4.0,418,247,166,127,78,3.4011973816621555,6.7,6.7,4.7
0,1.6094379124341003,64.79,4.0,483,302,166,127,78,3.4011973816621555,6.7,6.7,4.7
0,1.3862943611198906,57.59,5.0,330,245,166,127,78,2.5649493574615367,6.7,6.7,4.5
0,1.6094379124341003,50.39,4.0,365,170,160,123,72,2.5649493574615367,7.5,7.5,4.5
0,1.0986122886681098,83.99,3.0,420,299,156,127,78,2.5649493574615367,7.5,7.5,4.5
