,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
793,14,Core Black , Arctic Night F23 , Better Scarlet , Core Black , Cloud White , IF5273
794,14,Non Dyed , Core Black , Non Dyed , Core Black , Core Black , IG4767
795,21,Cloud White , Core Black , Non Dyed , Core Black , Core Black , IF5602
796,14,Core Black , Cloud White , Core Black , Off White , Cloud White , ID0360
797,14,Aluminium , Oatmeal , Aluminium , Aluminium ,, HP5970
798,14,Core Black , Solar Red , Wonder Red , Solar Red , Carbon , IE7652
799,14,Core Black , Core Black , Wonder Steel F22 , Trace Grey , Core Black , IG5782
800,7,Core Black , Core Black , Core Black , Core Black , Grey Two , IG4768
801,14,Solar Orange , Solar Orange , Grey Two , Core Black , Wild Pink , IG3097
802,17,Chalk White , Chalk White ,,,, HQ5873
803,14,Grey Two , Grey Two , Core Black , Utility Green , Core Black , IE4556
804,14,Core Black , Core Black , Wonder Quartz S23 , Crystal White , Silver Dawn , HR0063
805,14,Core Black , Core Black , Grey Three , Core Black , Feather Grey , ID9423
806,7,Chalk White , Core Black , Non Dyed , Core Black , Core Black , HP3129
807,14,Bliss Lilac , Cloud White , Core Black , Bliss Lilac , Pink Fusion , GX9524
808,12,Cloud White , Core Black , Cloud White , Core Black , Mineral Green , ID9432
809,12,Non Dyed , Core Black ,,,, GX1551
810,14,Cloud White , Core Black , Grey Three , Core Black , Feather Grey , IE9249
811,14,Collegiate Gold , Core Black , Wonder Beige , Solar Green , Collegiate Gold , ID5901
812,14,Flash Aqua , Core Black , Non Dyed , Core Black , Core Black , IG4777
813,14,Aluminium , Core Black , Core Black , Core Black , Shadow Navy , IE4557
814,14,Cloud White , Beam Pink F22 , Bliss Orange , Cloud White , Cloud White , HQ8915
815,14,Grey Two , Core Black , Non Dyed , Core Black , Core Black , HP5967
816,14,Halo Blush , Core Black , Cloud White , Core Black , Mineral Green , HQ5878
817,14,Grey Two , Core Black , Core Black , Core Black , Grey Two , IG5460
818,14,Cloud White , Core Black , Core Black , Core Black , Shadow Navy , IE4569
819,14,Wonder Taupe S23 , Core Black , Wonder Steel F22 , Trace Grey , Core Black , IF5619
820,14,Shadow Navy , Core Black , Core Black , Core Black , Shadow Navy , GY6056
821,14,Wonder Beige , Core Black , Cloud White , Core Black , Mineral Green , FV7827
822,14,Cloud White , Cloud White ,,,, IF3250
823,21,Core Black , Grey Two , Core Black , Utility Green , Core Black , ID9641
824,17,Core Black , Core Black , Non Dyed , Core Black , Core Black , IG5892
825,14,Grey One , Core Black , Core Black , Core Black , Shadow Navy , IG3196
826,14,Cloud White , Cloud White , Preloved Ink ,,, ID9422
827,14,Violet Fusion S23 , Core Black , Non Dyed , Core Black , Core Black , HQ4444
828,14,Core Black , Cloud White , Core Black , Off White , Cloud White , IE9214
